,Product_ID,Product_Name,Category,Price,Quantity_Sold,Brand,Release_Year,Ratings
0,101,Laptop,Electronics,1200.0,50.0,Dell,2021.0,4.5
1,102,Smartphone,Electronics,800.0,100.0,Apple,2020.0,4.7
2,103,Tablet,Electronics,400.0,80.0,Samsung,2019.0,4.3
3,104,Headphones,Accessories,100.0,200.0,Sony,2022.0,4.2
4,105,Smartwatch,Electronics,300.0,120.0,Fitbit,2021.0,4.6
5,106,Gaming Console,Gaming,500.0,75.0,Microsoft,2020.0,4.8
6,107,Keyboard,Accessories,50.0,95.0,Logitech,2018.0,4.0
7,108,Mouse,Accessories,40.0,0.0,HP,2017.0,
8,109,Monitor,Electronics,250.0,60.0,LG,2019.0,4.1
9,110,Printer,Office Supplies,150.0,110.0,Canon,2022.0,4.3
10,111,Speaker,Audio,200.0,130.0,JBL,2021.0,4.6
11,112,Camera,Photography,700.0,40.0,Nikon,2020.0,4.7
12,113,External Hard Drive,Storage,120.0,0.0,Seagate,2019.0,
13,114,Router,Networking,90.0,85.0,TP-Link,2021.0,4.5
14,115,Microphone,Audio,60.0,90.0,Blue Yeti,2018.0,4.0
15,116,Smart TV,Electronics,1000.0,55.0,Samsung,2022.0,4.4
16,117,Projector,Office Supplies,850.0,30.0,Epson,2021.0,4.1
17,118,Power Bank,Accessories,35.0,200.0,Anker,2020.0,3.9
18,119,VR Headset,Gaming,600.0,35.0,Oculus,2023.0,4.9
19,120,Graphics Card,Computer Components,400.0,0.0,NVIDIA,2021.0,
20,121,Processor,Computer Components,300.0,65.0,Intel,2019.0,4.2
21,122,RAM,Computer Components,150.0,45.0,Corsair,2020.0,4.0
22,123,Motherboard,Computer Components,200.0,100.0,ASUS,2018.0,4.3
23,124,SSD,Storage,180.0,70.0,Kingston,2022.0,4.6
24,125,HDD,Storage,130.0,85.0,Western Digital,2023.0,4.8
25,126,USB Flash Drive,Accessories,20.0,150.0,SanDisk,2017.0,4.1
26,127,Cooling Pad,Accessories,45.0,0.0,Cooler Master,2018.0,
27,128,Tripod,Photography,100.0,90.0,Manfrotto,2019.0,4.5
28,129,Streaming Device,Streaming,120.0,50.0,Roku,2020.0,4.2
29,130,E-Reader,Electronics,250.0,200.0,Amazon,2021.0,4.7
30,131,Wireless Charger,Accessories,75.0,105.0,Belkin,2018.0,4.0
31,132,Portable Speaker,Audio,220.0,65.0,Bose,2019.0,4.3
32,133,Game Controller,Gaming,55.0,140.0,Xbox,2022.0,4.1
33,134,Webcam,Accessories,90.0,55.0,Logitech,2020.0,4.6
34,135,Smart Light,Smart Home,200.0,60.0,Philips,2021.0,4.2
35,136,Smart Doorbell,Smart Home,180.0,70.0,Ring,2023.0,4.8
36,137,Fitness Band,Wearable,150.0,0.0,Garmin,2022.0,4.9
37,138,Drone,Drones,300.0,30.0,DJI,2018.0,
38,139,Bluetooth Adapter,Accessories,110.0,45.0,TP-Link,2020.0,4.0
39,140,Drawing Tablet,Accessories,150.0,90.0,Wacom,2019.0,4.1
40,141,Coffee Maker,Home Appliances,180.0,35.0,Keurig,2021.0,4.3
41,142,Air Purifier,Home Appliances,220.0,60.0,Dyson,2023.0,4.6
42,143,Robot Vacuum,Home Appliances,100.0,95.0,iRobot,2020.0,4.2
43,144,Electric Kettle,Home Appliances,120.0,0.0,Breville,2022.0,4.5
44,145,Blender,Home Appliances,400.0,110.0,Ninja,2021.0,
45,146,Toaster,Home Appliances,500.0,75.0,Cuisinart,2019.0,4.7
46,147,Smart Refrigerator,Home Appliances,450.0,55.0,Samsung,2018.0,4.3
47,148,Washing Machine,Home Appliances,350.0,80.0,LG,2020.0,4.2
48,149,Oven,Home Appliances,320.0,100.0,Bosch,2023.0,4.8
0,153,Microwave,Office Supplies,286.26,12.0,Philips,2015.0,3.5
1,114,Smart Light,Wearable,248.16,177.0,Samsung,2016.0,3.7
2,286,USB Flash Drive,Audio,1012.2,117.0,HP,2020.0,3.9
3,128,External Hard Drive,Wearable,839.11,40.0,JBL,2017.0,3.5
4,126,Monitor,Electronics,737.47,372.0,Apple,2023.0,4.8
5,283,Portable Speaker,Networking,623.81,31.0,HP,2016.0,4.0
6,282,Cooling Pad,Storage,1095.42,492.0,TP-Link,2022.0,3.5
7,112,Microphone,Photography,98.45,332.0,Blue Yeti,2019.0,4.4
8,172,Bluetooth Adapter,Electronics,325.85,171.0,Cuisinart,2016.0,3.7
9,213,Drawing Tablet,Office Supplies,490.56,338.0,Microsoft,2015.0,4.4
10,270,Microwave,Storage,1036.11,150.0,Nikon,2019.0,4.5
